Radial position,mean velocity
-0.5282062117050497,6.449562488806808
-0.4859497147686457,7.129867427267504
-0.44369321783224175,7.601510864825629
-0.40143672089583776,7.91581327165992
-0.3591802239594338,7.752975657847284
-0.3169237270230298,8.262843019556234
-0.2746672300866258,8.72018221634165
-0.23241073315022184,8.816756880849708
-0.19015423621381788,8.972540803418614
-0.1478977392774139,9.254584431452443
-0.10564124234100994,9.399407715543655
-0.06338474540460597,9.352412386140976
-0.021128248468201986,9.56405193862127
0.021128248468201986,9.485721904163897
0.06338474540460597,9.498872465687683
0.10564124234100994,9.246878477819067
0.1478977392774139,9.000801505279357
0.19015423621381788,8.721891201332111
0.23241073315022184,8.300296222563151
0.2746672300866258,8.154032880428616
0.3169237270230298,7.834542157198082
0.3591802239594338,7.655220930859365
0.40143672089583776,7.5527173467967526
0.44369321783224175,7.021578366147918
0.4859497147686457,6.551100492412522
0.5282062117050497,5.966232031246689
0.5704627086414537,5.8332745660369865
0.6549757025142616,5.332193796137179
0.7394886963870695,4.694902612949233
0.8240016902598775,3.653794011054897
0.9085146841326854,3.4605032493031294
0.9930276780054934,2.791714645058136
1.0775406718783014,2.6622981763857423
1.1620536657511094,2.095584169760233
1.2465666596239173,1.6452652853544467
1.331079653496725,1.5711642435285802
1.415592647369533,1.339702480181663
1.500105641242341,1.2251453727454076
1.584618635115149,1.0049000120146558
1.669131628987957,0.734586619718636
1.753644622860765,0.5841415056394751
1.838157616733573,0.5841384671537347
1.922670610606381,0.5199518995329601
2.007183604479189,0.4732650890870671
2.0916965983519966,0.45904127295301844
2.176209592224805,0.4521134806079313
2.2607225860976126,0.478524889642468
2.3452355799704208,0.444523271904659
2.4297485738432285,0.4628959206019537
