0.000000000000000000e+00 5.106865264989710442e-04 1.000000000000000000e+00
1.000020000400007936e+00 2.662421386975520970e-05 5.077847025779290702e-01
2.000040000800015871e+00 2.430734885826467341e-05 5.594575666194457897e-01
3.000060001200023585e+00 2.375685097821762497e-05 4.858796910346153131e-01
4.000080001600031743e+00 2.206715411097970542e-05 4.945450477049105342e-01
5.000100002000039900e+00 2.403817708213318679e-05 4.963262952227570080e-01
6.000120002400047170e+00 2.588153037134033999e-05 4.970885745245800513e-01
7.000140002800055328e+00 2.459049345386333171e-05 5.147338943156174462e-01
8.000160003200063485e+00 2.209418721166089283e-05 4.963802688109874017e-01
9.000180003600071643e+00 2.131277061350122192e-05 5.035134729205679172e-01
1.000020000400007980e+01 1.879216665550068128e-05 4.850921607137191893e-01
1.100022000440008618e+01 1.811039518858400654e-05 4.925627314459460337e-01
1.200024000480009434e+01 1.698609156819797341e-05 4.849878456302738616e-01
1.300026000520010250e+01 1.837117770409625426e-05 4.889117119329718375e-01
1.400028000560011066e+01 1.637836244958108177e-05 4.891462502176253113e-01
1.500030000600011881e+01 1.649382954958416886e-05 4.829869748165321885e-01
1.600032000640012697e+01 1.467584690228624827e-05 4.846178913908120722e-01
1.700034000680013335e+01 1.339150436914048517e-05 5.009188156686134041e-01
1.800036000720014329e+01 1.293343274146340558e-05 4.734242444633427471e-01
1.900038000760014967e+01 1.135602570849849400e-05 4.732953001821198491e-01
2.000040000800015960e+01 1.041859074365650777e-05 4.678310610471340669e-01
2.100042000840016598e+01 9.745350456890859031e-06 4.682458747010511679e-01
2.200044000880017236e+01 8.168071237123297019e-06 4.630550531029152261e-01
2.300046000920018230e+01 8.182236813811132102e-06 4.634908817122730951e-01
2.400048000960018868e+01 7.630390126376082420e-06 4.550965103917058996e-01
2.500050001000019861e+01 7.248139257212038290e-06 4.529945720501729056e-01
2.600052001040020500e+01 7.502824838068824047e-06 4.469087806977702915e-01
2.700054001080021493e+01 7.288281072426667552e-06 4.420283078743094118e-01
2.800056001120022131e+01 6.423754070195172332e-06 4.387059028676117967e-01
2.900058001160022769e+01 6.109850626734940824e-06 4.338411738213369673e-01
